#q	Cp1sin	Cp1sn
0.169844	225,945	231,764
0.170645	226,909	232,705
0.171446	227,884	233,656
0.172247	228,872	234,620
0.173048	229,871	235,595
0.173849	230,882	236,582
0.17465	231,906	237,581
0.175451	232,942	238,592
0.176251	233,991	239,616
0.177052	235,054	240,652
0.177853	236,129	241,702
0.178654	237,218	242,764
0.179455	238,320	243,840
0.180256	239,436	244,929
0.181057	240,567	246,032
0.181858	241,711	247,149
0.182659	242,871	248,280
0.183459	244,045	249,425
0.18426	245,233	250,585
0.185061	246,438	251,760
0.185862	247,657	252,950
0.186663	248,893	254,155
0.187464	250,144	255,375
0.188265	251,412	256,612
0.189066	252,696	257,864
0.189867	253,997	259,133
0.190667	255,315	260,417
0.191468	256,650	261,719
0.192269	258,003	263,038
0.19307	259,374	264,374
0.193871	260,762	265,727
0.194672	262,170	267,098
0.195473	263,595	268,487
0.196274	265,040	269,895
0.197075	266,504	271,321
0.197875	267,988	272,765
0.198676	269,491	274,229
0.199477	271,015	275,713
0.200278	272,559	277,216
0.201079	274,124	278,739
0.20188	275,709	280,282
0.202681	277,317	281,846
0.203482	278,946	283,431
0.204283	280,597	285,036
0.205083	282,270	286,664
0.205884	283,967	288,313
0.206685	285,686	289,984
0.207486	287,429	291,678
0.208287	289,195	293,395
0.209088	290,986	295,134
0.209889	292,801	296,897
0.21069	294,641	298,684
0.211491	296,506	300,495
0.212291	298,397	302,331
0.213092	300,314	304,191
0.213893	302,257	306,076
0.214694	304,227	307,987
0.215495	306,224	309,924
0.216296	308,249	311,887
0.217097	310,301	313,876
0.217898	312,382	315,893
0.218699	314,492	317,937
0.219499	316,630	320,009
0.2203	318,799	322,109
0.221101	320,997	324,237
0.221902	323,226	326,395
0.222703	325,485	328,581
0.223504	327,776	330,798
0.224305	330,099	333,044
0.225106	332,454	335,322
0.225907	334,842	337,630
0.226707	337,262	339,969
0.227508	339,717	342,341
0.228309	342,205	344,745
0.22911	344,728	347,181
0.229911	347,286	349,651
0.230712	349,880	352,154
0.231513	352,509	354,691
0.232314	355,176	357,263
0.233115	357,879	359,870
0.233915	360,620	362,513
0.234716	363,398	365,191
0.235517	366,216	367,906
0.236318	369,072	370,658
0.237119	371,969	373,447
0.23792	374,905	376,274
0.238721	377,882	379,139
0.239522	380,901	382,044
0.240323	383,961	384,988
0.241123	387,064	387,972
0.241924	390,210	390,996
0.242725	393,399	394,061
0.243526	396,633	397,168
0.244327	399,911	400,317
0.245128	403,235	403,509
0.245929	406,605	406,744
0.24673	410,021	410,022
0.247531	413,485	413,345
0.248331	416,997	416,713
0.249132	420,557	420,127
0.249933	424,166	423,586
0.250734	427,825	427,092
